;X;Y;Count
1;1851.39883947127;0.0614131889201409;1
2;1851.39883947127;0.0657379630458068;1
3;1851.39883947127;0.075322622219113;2
4;1851.39883947127;0.0806269116295542;2
5;1851.39883947127;0.0863047340546569;2
6;1851.39883947127;0.0923823940382055;2
7;1851.39883947127;0.0988880485145271;1
8;1851.39883947127;0.105851837255564;5
9;1851.39883947127;0.113306022504148;8
10;1851.39883947127;0.121285138440389;10
11;1851.39883947127;0.129826151173613;6
12;1851.39883947127;0.138968630001093;3
13;1851.39883947127;0.148754930726976;4
14;1851.39883947127;0.159230391890697;5
15;1851.39883947127;0.170443544813989;7
16;1851.39883947127;0.182446338439587;8
17;1851.39883947127;0.195294380003298;6
18;1851.39883947127;0.209047192654413;4
19;1851.39883947127;0.223768491217992;4
20;1851.39883947127;0.314464701539818;1
21;1887.36877023168;0.0573729333644374;2
22;1887.36877023168;0.0614131889201409;1
23;1887.36877023168;0.0703672918048813;1
24;1887.36877023168;0.075322622219113;6
25;1887.36877023168;0.0806269116295542;3
26;1887.36877023168;0.0863047340546569;1
27;1887.36877023168;0.0923823940382055;7
28;1887.36877023168;0.0988880485145271;1
29;1887.36877023168;0.105851837255564;5
30;1887.36877023168;0.113306022504148;14
31;1887.36877023168;0.121285138440389;9
32;1887.36877023168;0.129826151173613;16
33;1887.36877023168;0.138968630001093;11
34;1887.36877023168;0.148754930726976;8
35;1887.36877023168;0.159230391890697;5
36;1887.36877023168;0.170443544813989;6
37;1887.36877023168;0.182446338439587;8
38;1887.36877023168;0.195294380003298;12
39;1887.36877023168;0.209047192654413;11
40;1887.36877023168;0.223768491217992;3
41;1887.36877023168;0.239526477376589;1
42;1887.36877023168;0.385687607691738;1
43;1887.36877023168;0.41284808927012;1
44;1887.36877023168;0.58018066112417;1
45;1887.36877023168;2.77535734279531;1
46;1924.03754334379;0.0573729333644374;1
47;1924.03754334379;0.0657379630458068;2
48;1924.03754334379;0.075322622219113;5
49;1924.03754334379;0.0806269116295542;2
50;1924.03754334379;0.0863047340546569;4
51;1924.03754334379;0.0923823940382055;2
52;1924.03754334379;0.0988880485145271;13
53;1924.03754334379;0.105851837255564;4
54;1924.03754334379;0.113306022504148;25
55;1924.03754334379;0.121285138440389;35
56;1924.03754334379;0.129826151173613;9
57;1924.03754334379;0.138968630001093;12
58;1924.03754334379;0.148754930726976;13
59;1924.03754334379;0.159230391890697;3
60;1924.03754334379;0.170443544813989;8
61;1924.03754334379;0.182446338439587;11
62;1924.03754334379;0.195294380003298;15
63;1924.03754334379;0.209047192654413;16
64;1924.03754334379;0.223768491217992;19
65;1924.03754334379;0.239526477376589;3
66;1924.03754334379;0.274449671559492;2
67;1924.03754334379;0.293776673775603;2
68;1924.03754334379;0.36031396194654;1
69;1924.03754334379;1.72360105568217;1
70;1961.41873627696;0.0500723376619765;1
71;1961.41873627696;0.0573729333644374;2
72;1961.41873627696;0.0657379630458068;1
73;1961.41873627696;0.0703672918048813;1
74;1961.41873627696;0.075322622219113;9
75;1961.41873627696;0.0806269116295542;3
76;1961.41873627696;0.0863047340546569;5
77;1961.41873627696;0.0923823940382055;8
78;1961.41873627696;0.0988880485145271;35
79;1961.41873627696;0.105851837255564;21
80;1961.41873627696;0.113306022504148;18
81;1961.41873627696;0.121285138440389;34
82;1961.41873627696;0.129826151173613;11
83;1961.41873627696;0.138968630001093;29
84;1961.41873627696;0.148754930726976;5
85;1961.41873627696;0.159230391890697;9
86;1961.41873627696;0.170443544813989;10
87;1961.41873627696;0.182446338439587;16
88;1961.41873627696;0.195294380003298;25
89;1961.41873627696;0.209047192654413;31
90;1961.41873627696;0.223768491217992;29
91;1961.41873627696;0.239526477376589;15
92;1961.41873627696;0.256394155638944;2
93;1961.41873627696;0.274449671559492;2
94;1961.41873627696;0.293776673775603;5
95;1961.41873627696;0.314464701539818;1
96;1961.41873627696;0.336609599542479;1
97;1961.41873627696;0.36031396194654;1
98;1961.41873627696;0.58018066112417;1
99;1999.5261902906;0.0500723376619765;1
100;1999.5261902906;0.0573729333644374;2
101;1999.5261902906;0.0614131889201409;2
102;1999.5261902906;0.0657379630458068;3
103;1999.5261902906;0.0703672918048813;7
104;1999.5261902906;0.075322622219113;7
105;1999.5261902906;0.0806269116295542;3
106;1999.5261902906;0.0863047340546569;9
107;1999.5261902906;0.0923823940382055;23
108;1999.5261902906;0.0988880485145271;20
109;1999.5261902906;0.105851837255564;33
110;1999.5261902906;0.113306022504148;23
111;1999.5261902906;0.121285138440389;18
112;1999.5261902906;0.129826151173613;7
113;1999.5261902906;0.138968630001093;6
114;1999.5261902906;0.148754930726976;11
115;1999.5261902906;0.159230391890697;3
116;1999.5261902906;0.170443544813989;12
117;1999.5261902906;0.182446338439587;24
118;1999.5261902906;0.195294380003298;26
119;1999.5261902906;0.209047192654413;18
120;1999.5261902906;0.223768491217992;21
